gene,essential,comment
PA14_43570,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08400,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_38880,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_50800,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_72480,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66090,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12120,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11410,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04310,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_35040,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_07910,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_18700,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_16710,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_30270,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25440,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08910,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_42180,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14160,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_23320,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08730,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_23220,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_45380,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61890,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_52010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44020,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66990,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_52530,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41400,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_49340,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17080,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17060,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41050,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25660,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_08630,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25860,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17110,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_69440,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_45350,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25530,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66900,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17210,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_44780,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_04480,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61660,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_62940,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66010,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17120,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65690,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_43580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_13680,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12970,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_34500,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61750,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_62850,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_41350,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_65500,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_23860,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_51270,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_68200,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_37910,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00280,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_54320,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14650,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11260,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_69450,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00190,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_54480,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_60330,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_00100,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_17270,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_37420,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_48620,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11460,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12130,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_71300,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25510,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_67490,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_28690,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_25550,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_32420,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61580,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_07570,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_16950,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_12200,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_58150,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_51730,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_07230,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14510,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66550,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57340,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_57380,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_61700,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_23800,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_34370,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_14880,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_11400,yes,"Manoil and Ausubel Overlap, 2005, LB"
PA14_66230,yes,"Manoil and Ausubel Overlap, 2005, LB"
